"ISSUE_SEVERITY_RANK","ISSUE_SEVERITY","SCORE","PROBLEM_TITLE","CVE","CVE_URL","CWE","PROJECT_NAME","PROJECT_URL","EXPLOIT_MATURITY","COMPUTED_FIXABILITY","FIRST_INTRODUCED","PRODUCT_NAME","ISSUE_URL","ISSUE_STATUS_INDICATOR","ISSUE_TYPE"
3,"High",867,"SQL Injection","[]","[]","[""CWE-89""]","Revvity/chemacx-tools(main)","https://app.snyk.io/org/chemacx-HV6EzF6zj7gwdnXpRsb5ZX/project/3ca00e31-fe71-43d9-a5d2-2daca5102d98",,"No Fix Supported","2024-04-05 14:39:19.776","Snyk Code","https://app.snyk.io/org/chemacx-HV6EzF6zj7gwdnXpRsb5ZX/project/3ca00e31-fe71-43d9-a5d2-2daca5102d98#issue-29c5eb92-bdfc-49b0-a91e-b848f4115a7a","Ignored","Vulnerability"
3,"High",867,"SQL Injection","[]","[]","[""CWE-89""]","Revvity/chemacx-tools(main)","https://app.snyk.io/org/chemacx-HV6EzF6zj7gwdnXpRsb5ZX/project/3ca00e31-fe71-43d9-a5d2-2daca5102d98",,"No Fix Supported","2024-08-20 06:48:02.035","Snyk Code","https://app.snyk.io/org/chemacx-HV6EzF6zj7gwdnXpRsb5ZX/project/3ca00e31-fe71-43d9-a5d2-2daca5102d98#issue-3118eb2e-c785-4285-8f7a-5e26374d0977","Ignored","Vulnerability"
3,"High",867,"SQL Injection","[]","[]","[""CWE-89""]","Revvity/chemacx-tools(main)","https://app.snyk.io/org/chemacx-HV6EzF6zj7gwdnXpRsb5ZX/project/3ca00e31-fe71-43d9-a5d2-2daca5102d98",,"No Fix Supported","2024-04-05 14:39:19.776","Snyk Code","https://app.snyk.io/org/chemacx-HV6EzF6zj7gwdnXpRsb5ZX/project/3ca00e31-fe71-43d9-a5d2-2daca5102d98#issue-069a0a45-2c5c-412c-9a25-45f8b5b195b4","Ignored","Vulnerability"
3,"High",867,"SQL Injection","[]","[]","[""CWE-89""]","Revvity/chemacx-tools(main)","https://app.snyk.io/org/chemacx-HV6EzF6zj7gwdnXpRsb5ZX/project/3ca00e31-fe71-43d9-a5d2-2daca5102d98",,"No Fix Supported","2024-04-05 14:39:19.776","Snyk Code","https://app.snyk.io/org/chemacx-HV6EzF6zj7gwdnXpRsb5ZX/project/3ca00e31-fe71-43d9-a5d2-2daca5102d98#issue-f3913fe8-bf1e-41c8-87cb-381f6c1ba894","Ignored","Vulnerability"
3,"High",834,"Deserialization of Untrusted Data","[""CVE-2019-12384""]","[""https://www.cve.org/CVERecord?id=CVE-2019-12384""]","[""CWE-502""]","Revvity/signals-data-factory(main):cluster/build.sbt","https://app.snyk.io/org/signals-data-factory-saas-MwnbDneNZh3e3GjavRZzLf/project/d626f9b9-e9d7-4c25-9506-0b16a0890d9c","Mature","No Fix Supported","2024-07-23 10:12:39.851","Snyk Open Source","https://app.snyk.io/org/signals-data-factory-saas-MwnbDneNZh3e3GjavRZzLf/project/d626f9b9-e9d7-4c25-9506-0b16a0890d9c#issue-SNYK-JAVA-COMFASTERXMLJACKSONCORE-450917","Ignored","Vulnerability"
3,"High",817,"Use of Hardcoded, Security-relevant Constants","[]","[]","[""CWE-547""]","Revvity/Elements-Services(main)","https://app.snyk.io/org/signals-notebook-k9Am4e2HJDrGm6xKTTwBro/project/2d051ce5-35d0-4252-bea8-e9d465039e5f",,"No Fix Supported","2024-04-05 20:04:16.074","Snyk Code","https://app.snyk.io/org/signals-notebook-k9Am4e2HJDrGm6xKTTwBro/project/2d051ce5-35d0-4252-bea8-e9d465039e5f#issue-90bf7d2a-64fc-48e9-996e-1c55bce3754f","Ignored","Vulnerability"
3,"High",817,"Use of Hardcoded, Security-relevant Constants","[]","[]","[""CWE-547""]","Revvity/Elements-Services(main)","https://app.snyk.io/org/signals-notebook-k9Am4e2HJDrGm6xKTTwBro/project/2d051ce5-35d0-4252-bea8-e9d465039e5f",,"No Fix Supported","2024-04-05 20:04:16.074","Snyk Code","https://app.snyk.io/org/signals-notebook-k9Am4e2HJDrGm6xKTTwBro/project/2d051ce5-35d0-4252-bea8-e9d465039e5f#issue-8dd3c51e-717f-4f00-98c2-64417383d3c7","Ignored","Vulnerability"
3,"High",817,"Use of Hardcoded, Security-relevant Constants","[]","[]","[""CWE-547""]","Revvity/Elements-Services(main)","https://app.snyk.io/org/signals-notebook-k9Am4e2HJDrGm6xKTTwBro/project/2d051ce5-35d0-4252-bea8-e9d465039e5f",,"No Fix Supported","2024-04-05 20:04:16.074","Snyk Code","https://app.snyk.io/org/signals-notebook-k9Am4e2HJDrGm6xKTTwBro/project/2d051ce5-35d0-4252-bea8-e9d465039e5f#issue-2c1a37b5-b1e2-4775-84ca-a23617b75544","Ignored","Vulnerability"
3,"High",817,"Use of Hardcoded, Security-relevant Constants","[]","[]","[""CWE-547""]","Revvity/Elements-Services(main)","https://app.snyk.io/org/signals-notebook-k9Am4e2HJDrGm6xKTTwBro/project/2d051ce5-35d0-4252-bea8-e9d465039e5f",,"No Fix Supported","2024-04-05 20:04:16.074","Snyk Code","https://app.snyk.io/org/signals-notebook-k9Am4e2HJDrGm6xKTTwBro/project/2d051ce5-35d0-4252-bea8-e9d465039e5f#issue-95686d23-61cd-4b19-9f87-634299622354","Ignored","Vulnerability"
3,"High",817,"Use of Hardcoded, Security-relevant Constants","[]","[]","[""CWE-547""]","Revvity/Elements-Services(main)","https://app.snyk.io/org/signals-notebook-k9Am4e2HJDrGm6xKTTwBro/project/2d051ce5-35d0-4252-bea8-e9d465039e5f",,"No Fix Supported","2024-04-05 20:04:16.074","Snyk Code","https://app.snyk.io/org/signals-notebook-k9Am4e2HJDrGm6xKTTwBro/project/2d051ce5-35d0-4252-bea8-e9d465039e5f#issue-fd41d710-22cf-465a-be73-8fb7fafa01d7","Ignored","Vulnerability"
